,English,French
0,brother,frère
1,because,car
2,to put,mettre
3,no,aucun
4,leash,laisse
5,city,ville
6,each,chaque
7,come,arrivé
8,should,devrait
9,long time,longtemps
10,hours,heures
11,while,pendant
12,meet again,revoir
13,any,aucune
14,square,place
15,understood,compris
16,knew,savais
17,were,étaient
18,Warning,attention
19,here is,voici
20,could,pourrais
21,case,affaire
22,give,donner
23,type,type
24,their,leurs
25,given,donné
26,train,train
27,body,corps
28,place,endroit
29,eyes,yeux
30,way,façon
31,listen,écoute
32,whose,dont
33,find,trouve
34,first,premier
35,lost,perdu
36,hand,main
37,first,première
38,side,côté
39,power,pouvoir
40,old,vieux
41,be,sois
42,here,tiens
43,morning,matin
44,so much,tellement
45,child,enfant
46,point,point
47,came,venu
48,after,suite
49,sorry,pardon
50,come,venez
51,in front of,devant
52,towards,vers
53,minutes,minutes
54,request,demandé
55,bedroom,chambre
56,placed,mis
57,beautiful,belle
58,law,droit
59,would like to,aimerais
60,today,aujourd'hui
61,husband,mari
62,cause,cause
63,finally,enfin
64,hope,espère
65,water,eau
66,Wait,attendez
67,left,parti
68,new,nouvelle
69,job,boulot
70,Stop,arrêter
71,would say,dirait
72,Earth,terre
73,account,compte
74,given,donne
75,far,loin
76,end,fin
77,believe,croire
78,sweetheart,chérie
79,large,gros
80,rather,plutôt
81,will have,aura
82,girls,filles
83,to play,jouer
84,office,bureau
85,thought,pensais
86,history,histoire
87,only,seulement
88,police,police
89,thought,pensais
90,help,aide
91,request,demande
92,kind,genre
93,month,mois
94,brother,frère
95,let,laisser
96,because,car
97,to put,mettre
98,no,aucun
99,leash,laisse
100,them,eux
101,city,ville
102,each,chaque
103,speak,parlé
104,come,arrivé
105,should,devrait
106,baby,bébé
107,long time,longtemps
108,hours,heures
109,will,vont
110,while,pendant
111,meet again,revoir
112,any,aucune
113,square,place
114,speak,parle
115,understood,compris
116,knew,savais
117,were,étaient
118,Warning,attention
119,here is,voici
120,could,pourrais
121,case,affaire
122,give,donner
123,type,type
124,their,leurs
125,given,donné
126,train,train
127,body,corps
128,place,endroit
129,eyes,yeux
130,way,façon
131,listen,écoute
132,whose,dont
133,find,trouve
134,first,premier
135,lost,perdu
136,hand,main
137,first,première
138,side,côté
139,power,pouvoir
140,old,vieux
141,be,sois
142,here,tiens
143,morning,matin
144,so much,tellement
145,child,enfant
146,point,point
147,came,venu
148,after,suite
149,sorry,pardon
150,come,venez
151,in front of,devant
152,towards,vers
153,minutes,minutes
